Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"13","048","Bahrain","22015","Gross Fixed Capital Formation","6103","Share of GDP US$","%","33.948642","35.059046","31.987572","34.799308","38.390260","22.773148","43.234514","49.163118","32.340907","36.176314","28.452221","26.941766","30.435744","37.872392","39.985161","27.937307","34.783476","27.069422","23.562325","24.470187","23.205173","25.564571","27.551038","29.603503","24.917900","20.220762","20.252999","22.991788","22.417012","16.814957","16.388428","16.973667","23.111877","23.572324","22.513937","25.686503","29.499420","33.551198","34.522699","25.260148","26.045103","21.066583","26.837316","24.763609","25.600243","24.072056","25.764111","28.349422","29.603930","29.149244","30.845932"
"13","048","Bahrain","22015","Gross Fixed Capital Formation","6187","Share of GDP US$, 2015 prices","%","15.903670","16.321733","14.959408","16.429870","17.575921","10.872434","20.841253","21.014077","14.197801","17.646517","15.856263","17.146243","23.613836","30.471208","31.744469","19.519078","18.323488","16.083053","16.983008","18.575577","18.611799","20.626192","21.128226","20.985090","19.211910","15.736701","15.557273","18.153133","16.949821","12.836649","15.133225","13.371075","17.597262","19.075563","17.235440","21.116819","24.654586","31.350012","34.995827","23.996888","26.377563","22.634624","23.968747","26.584101","26.970337","24.072056","25.750905","27.302064","29.392040","29.225887","28.128370"
"13","048","Bahrain","22015","Gross Fixed Capital Formation","6157","Share of GDP Local Currency","%","33.948642","35.059046","31.987572","34.799308","38.390260","22.773148","43.234514","49.163118","32.340907","36.176314","28.452221","26.941766","30.435744","37.872392","39.985161","27.937307","34.783476","27.069422","23.562325","24.470187","23.205173","25.564571","27.551038","29.603503","24.917900","20.220762","20.252999","22.991788","22.417012","16.814957","16.388428","16.973667","23.111877","23.572324","22.513937","25.686503","29.499420","33.551198","34.522699","25.260148","26.045103","21.066583","26.837316","24.763609","25.600243","24.072056","25.764111","28.349422","29.603930","29.149244","30.845932"
"13","048","Bahrain","22015","Gross Fixed Capital Formation","6186","Share of GDP Local Currency, 2015 prices","%","15.903670","16.321733","14.959408","16.429870","17.575921","10.872434","20.841253","21.014077","14.197801","17.646517","15.856263","17.146243","23.613836","30.471208","31.744469","19.519078","18.323488","16.083053","16.983008","18.575577","18.611799","20.626192","21.128226","20.985090","19.211910","15.736701","15.557273","18.153133","16.949821","12.836649","15.133225","13.371075","17.597262","19.075563","17.235440","21.116819","24.654586","31.350012","34.995827","23.996888","26.377563","22.634624","23.968747","26.584101","26.970337","24.072056","25.750905","27.302064","29.392040","29.225887","28.128370"
"13","048","Bahrain","22015","Gross Fixed Capital Formation","6155","Annual growth Local Currency","%",,"11.016149","6.622482","41.264740","49.205437","-37.318967","173.276777","43.034536","-26.424308","31.379056","0.168398","6.612497","18.764783","27.483957","10.397501","-34.669811","4.067389","-20.929695","-4.416496","11.444309","3.953872","16.640253","12.635870","17.622229","-9.265441","-14.079528","4.174594","17.646004","-6.732270","-18.724171","16.492959","2.580250","45.527190","17.740655","13.407960","38.545545","33.082709","33.558370","21.745685","-34.720920","15.581358","-9.478795","36.125985","-2.354820","6.072995","-12.551308","11.111438","21.090273","10.843189","0.607576","-6.748481"
"13","048","Bahrain","22015","Gross Fixed Capital Formation","6181","Annual growth Local Currency, 2015 prices","%",,"4.278109","1.801214","25.122414","16.038611","-43.605383","150.108617","13.954835","-29.827236","28.602462","-7.826577","0.946854","27.382753","39.976247","9.282199","-48.385093","-5.024067","-10.547989","15.120397","12.027069","4.832510","15.872184","10.420434","12.120551","-10.387020","-16.504583","2.086120","19.381182","-2.064659","-19.758162","26.164557","-9.443272","36.013814","15.226153","-3.338962","30.813043","24.303800","37.703309","18.597125","-29.687243","14.687756","-12.487835","9.842206","16.919417","5.866340","-8.527884","10.780573","10.573808","9.507012","1.413149","-8.947553"
"13","048","Bahrain","22015","Gross Fixed Capital Formation","6129","Annual growth US$","%",,"11.342024","15.422286","55.039297","51.053896","-37.439416","173.208273","43.016159","-24.867797","33.388152","1.395198","6.896107","18.764783","27.483957","10.397500","-34.669811","4.067389","-20.929695","-4.416496","11.444309","3.953872","16.640253","12.635870","17.622232","-9.265435","-14.079529","4.174595","17.646005","-6.732269","-18.724175","16.492952","2.580250","45.527190","17.740655","13.407960","38.545545","33.082709","33.558370","21.745685","-34.720920","15.581358","-9.478795","36.125985","-2.354820","6.072995","-12.551308","11.111438","21.090273","10.843189","0.607576","-6.748481"
"13","048","Bahrain","22015","Gross Fixed Capital Formation","6182","Annual growth US$, 2015 prices","%",,"4.278109","1.801214","25.122414","16.038611","-43.605383","150.108617","13.954835","-29.827236","28.602462","-7.826577","0.946854","27.382753","39.976247","9.282199","-48.385093","-5.024067","-10.547989","15.120397","12.027069","4.832510","15.872184","10.420434","12.120551","-10.387020","-16.504583","2.086120","19.381182","-2.064659","-19.758162","26.164557","-9.443272","36.013814","15.226153","-3.338962","30.813043","24.303800","37.703309","18.597125","-29.687243","14.687756","-12.487835","9.842206","16.919417","5.866340","-8.527884","10.780573","10.573808","9.507012","1.413149","-8.947553"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6109","Value Local Currency","millions","1.651277","1.780231","2.094625","2.659652","3.685067","3.966310","5.099542","7.554877","8.404800","9.821340","10.765699","12.465546","13.693214","15.298625","15.487497","15.487497","15.487497","15.109753","14.448701","14.920881","13.504342","13.882086","15.676369","17.569028","17.360934","18.777475","21.164085","20.103666","20.549041","21.127259","21.717324","21.210025","20.538317","21.874078","19.304060","19.388621","18.695690","23.883039","25.601123","29.090331","28.777500","31.472400","31.880700","33.621517","37.649268","36.920600","40.261454","38.768532","40.943461","40.870403","36.644810"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6110","Value US$","millions","3.467685","3.749463","4.775731","6.655281","9.335428","10.028597","12.890679","19.094849","21.692419","25.736084","28.556213","33.153048","36.418122","40.687833","41.190152","41.190152","41.190152","40.185513","38.427396","39.683194","35.915803","36.920441","41.692471","46.726140","46.172701","49.940097","56.287465","53.467202","54.651710","56.189522","57.758840","56.409641","54.623184","58.175739","51.340585","51.565481","49.722580","63.518721","68.088093","77.367902","76.535904","83.703191","84.789096","89.418928","100.131032","98.193085","107.078335","103.107798","108.892184","108.697880","97.459601"
